mssv,hocky,namhoc,dtbhk,sotchk
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,1,2019,8.84,17
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,2,2019,9.0,21
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,1,2020,9.11,15
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,2,2020,8.75,19
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,1,2021,8.54,20
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,2,2021,8.74,20
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,1,2022,8.41,9
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,1,2018,8.31,17
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,2,2018,8.14,25
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,1,2019,7.01,23
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,2,2019,7.87,22
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,1,2020,8.04,22
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,2,2020,8.89,15
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,1,2021,8.53,12
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,1,2019,7.96,17
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,2,2019,8.04,23
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,3,2019,0.0,0
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,1,2020,6.91,18
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,2,2020,8.49,22
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,1,2021,8.85,23
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,2,2021,7.4,22
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,1,2022,0.0,0
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,1,2019,8.21,16
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,2,2019,9.34,19
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,1,2020,7.93,23
